DATE,RETURN 1,RETURN 2,RETURN 3,REURN 4,RETURN 5,RETURN 6,RETURN 7,RETURN 8,RETURN 9
8/14/1997,-0.954181108,0.169735963,0.417503796,-0.20340238,-0.78286034,-0.374062409,0.182741674,1.668340892,-1.322031022
8/15/1997,-0.954561628,0.113644719,0.403723919,-0.236822239,-0.795257866,-0.381888382,0.151152229,1.59052088,-1.318208575
8/18/1997,-0.955228454,0.147535094,0.405100142,-0.200003843,-0.788645499,-0.376018903,0.165592458,1.693244554,-1.312474906
8/19/1997,-0.954085063,0.133506016,0.377531567,-0.164320105,-0.790708218,-0.381888382,0.163787429,1.767950298,-1.299096343
8/20/1997,-0.954085063,0.139354947,0.369256584,-0.163752776,-0.77583967,-0.374062409,0.184546702,1.855107872,-1.285717781
8/21/1997,-0.954561628,0.121824866,0.35685293,-0.184144001,-0.788645499,-0.372105916,0.174617601,1.802191522,-1.276161664
8/22/1997,-0.954466498,0.114814505,0.330660578,-0.178479772,-0.777902389,-0.35645397,0.162886359,1.786625423,-1.268516772
8/25/1997,-0.953609412,0.092613636,0.289312127,-0.190941076,-0.780384016,-0.360366957,0.157471273,1.780402129,-1.266605548
8/26/1997,-0.952466021,0.100793783,0.307229495,-0.206235401,-0.793189844,-0.36232345,0.160177372,1.758612735,-1.268516772
8/27/1997,-0.952703846,0.106634358,0.307229495,-0.201136688,-0.811367228,-0.36819293,0.179131617,1.72437151,-1.266605548
8/28/1997,-0.952179716,0.104879679,0.377531567,-0.226059297,-0.798975003,-0.385801369,0.169202515,1.665226623,-1.258960655
8/29/1997,-0.952513586,0.100793783,0.333421847,-0.223793605,-0.80269214,-0.383844875,0.165592458,1.621647836,-1.251315763
09-01-1997,-0.952513586,0.100793783,0.333421847,-0.223793605,-0.80269214,-0.383844875,0.165592458,1.621647836,-1.251315763
09-02-1997,-0.952369976,0.142855949,0.355476707,-0.199438326,-0.794430658,-0.36232345,0.203498059,1.749275172,-1.249404539
09-03-1997,-0.952561151,0.152205882,0.372017852,-0.203969709,-0.791535427,-0.36232345,0.204402017,1.690130285,-1.247493316
09-04-1997,-0.950559759,0.14986631,0.424393734,-0.202269534,-0.792362636,-0.364279943,0.187252801,1.674564186,-1.257049432
09-05-1997,-0.951036324,0.137015374,0.391311444,-0.20340238,-0.786991081,-0.358410464,0.186351731,1.602972711,-1.218824968
09-08-1997,-0.946462759,0.117154078,0.383045282,-0.210199455,-0.789886312,-0.358410464,0.18815676,1.612310273,-1.209268852
09-09-1997,-0.944271106,0.114814505,0.416127572,-0.23625491,-0.790299916,-0.36232345,0.206207046,1.699467848,-1.215002521
09-10-1997,-0.943699411,0.094953209,0.460237293,-0.26344321,-0.791949031,-0.366236436,0.199888002,1.662112355,-1.228381084
